"id_dim_dechet","GROUPE DE DECHETS","SOUS-GROUPE DE DECHETS","DESCRIPTION PHYSIQUE","CATEGORIE","FAMILLE IN"
1360,"Déchets divers, propriété CEA, provenant du démantèlement de l'URE et des usines de diffusion gazeuse de l'établissement AREVA NC de Pierrelatte.","Déchets radioactifs ultimes issus des UDG, conditionnés et entreposés dans l'installation, en attente d'expédition au CIRES","Gravats conditionnés en GRVS(140 m3 - 1,1428571428571 t - 160 GRVS de gravats)","TFA","TFA"
1361,"Déchets divers, propriété CEA, provenant du démantèlement de l'URE et des usines de diffusion gazeuse de l'établissement AREVA NC de Pierrelatte.","Déchets radioactifs ultimes issus des UDG, conditionnés et entreposés dans l'installation, en attente d'expédition au CIRES","Matériels divers (métalliques, plastiques,...) conditionnés en casiers grillagés et parois pleines de 1,3 m3(1,15 m3 - 1,17391304347826 t - 1 casiers grillagés 1,3 m3)","TFA","TFA"
1362,"Déchets divers, propriété CEA, provenant du démantèlement de l'URE et des usines de diffusion gazeuse de l'établissement AREVA NC de Pierrelatte.","Déchets radioactifs ultimes issus des UDG, conditionnés et entreposés dans l'installation, en attente d'expédition au CIRES","Matériels divers (vannes, câbles, supports,...) mis en big-bags renforcés grand modèle (18,5 m3 - 1,2972972972973 t - 14 big-bags renforcés de 1,3 m3)","TFA","TFA"
1363,"Déchets divers, propriété CEA, provenant du démantèlement de l'URE et des usines de diffusion gazeuse de l'établissement AREVA NC de Pierrelatte.","Déchets radioactifs ultimes issus des UDG, conditionnés et entreposés dans l'installation, en attente d'expédition au CIRES","Matériels divers (vannes, câbles, supports,...) mis en big-bags renforcés petit modèle (95 m3 - 1,7368421052632 t - 132 big-bags renforcés de 0,72 m3)","TFA","TFA"
1364,"Déchets divers, propriété CEA, provenant du démantèlement de l'URE et des usines de diffusion gazeuse de l'établissement AREVA NC de Pierrelatte.","Déchets radioactifs ultimes issus des UDG, conditionnés et entreposés dans l'installation, en attente d'expédition au CIRES","vannes monolithiques acier ou AG3(2129 m3 - 1 t - 2129 vannes monolithiques )","TFA","TFA"
1365,"Déchets petits producteurs pour le compte de la société ORANGE",NA,"7 fûts(0,8 m3 - 1 t )","AUTRES","S04"
1366,"Déchets petits producteurs pour le compte d'OTND",NA,"Déchets non métalliques non compactables de Marnaz(0,8 m3 - 1 t )","TFA","TFA"
1367,"Déchets pour le CNPE BUGEY","Réception de 13 CTN de déchets","Déchets FAMA(24 m3 - 1 t )","FMA-VC","DIV3"
1368,"Déchets pour le CNPE BUGEY","Réception de 13 CTN de déchets","Déchets TFA (118 m3 - 1 t )","TFA","TFA"
1369,"Déchets pour le CNPE St Alban","Réception 2016","2 conteneurs(30 m3 - 1 t )","TFA","TFA"
1370,"Déchets pour le compte de CIS BIO",NA,"350 000 colonnes a aiguilles cisbio(26,6 m3 - 1 t )","TFA","TFA"
1371,"Déchets pour le compte de FBFC",NA,"Déchets divers en conteneurs reconditionnés en 36 big bag, 14 casiers parois pleines, 4 casiers parois grillagées et caisson 6 R6(100 m3 - 0,8 t )","TFA","TFA"
1372,"Déchets pour le compte de l'ANDRA",NA,"18 fûts issus du nucléaire Diffus(3,6 m3 - 0,8 t )","TFA","TFA"
1373,"Déchets pour le compte de l'ANDRA",NA,"CD 330(0,2 m3 - 1 t )","FMA-VC","F3-01"
1374,"Déchets pour le compte de l'ANDRA",NA,"CD 352(0,2 m3 - 1 t )","FMA-VC","F3-01"
1375,"Déchets pour le compte de l'ANDRA",NA,"CD 353(0,2 m3 - 1 t )","FMA-VC","F3-01"
1376,"Déchets pour le compte de l'ANDRA",NA,"CD 381(0,2 m3 - 1 t )","FMA-VC","F3-01"
1377,"Déchets pour le compte de l'ANDRA",NA,"CD 382 et CD 383(0,4 m3 - 1 t )","FMA-VC","F3-01"
1378,"Déchets pour le compte de l'ANDRA",NA,"CD 393(5 m3 - 1 t )","FMA-VC","F3-01"
1379,"Déchets pour le compte de l'ANDRA",NA,"CD 399(5 m3 - 1 t )","FMA-VC","F3-01"
1380,"Déchets pour le compte de l'ANDRA",NA,"CD347(0,2 m3 - 1 t )","FMA-VC","F3-01"
1381,"Déchets pour le compte de l'ANDRA",NA,"Déchets induits expertise CD 340(1 m3 - 1 t )","FMA-VC","F3-01"
1382,"Déchets pour le compte de ROBATEL",NA,"emballage de transport (R62), vide(1 chateau)","FMA-VC","DIV3"
1383,"Déchets pour le compte de SOCODEI",NA,"Grenailles : 197 fûts PE 30 litres et 124 Fûts PE 120 litres(20,79 m3 - 1 t )","TFA","TFA"
1384,"Déchets pour le compte de SOCODEI",NA,"Poussières (Fûts de poussières bloquées: 259 Fûts et Fûts de poussières non bloquées : 208 Fûts)
(467 fûts)","TFA","TFA"
1385,"Déchets pour le compte d'EDF",NA,"EDF CHINON(226 m3 - 1 t )","TFA","TFA"
1386,"Déchets pour le compte d'EDF",NA,"EDF CRUAS : 25 conteneurs(12,8 m3 - 1 t )","TFA","TFA"
1387,"Déchets pour le compte d'EDF",NA,"EDF FLAMANVILLE : Entreposage de 2 citernes(2 citerne)","FMA-VC","DIV3"
1388,"Déchets pour le compte d'EDF",NA,"EDF TRICASTIN FAMA(81,4 m3 - 1 t )","FMA-VC","F3-01"
1389,"Déchets pour le compte d'EDF",NA,"EDF TRICASTIN(94 m3 - 1 t )","TFA","TFA"
1390,"Déchets pour le compte du CEA/CADARACHE",NA,"1 open top de déchets amiantés(33 m3 - 1 t )","TFA","TFA"
1391,"Déchets sans filière et en attente de filière","Déchets dont le traitement industriel est à l'étude","Alumines ","TFA","TFA"
1392,"Déchets sans filière et en attente de filière","Déchets dont le traitement industriel est à l'étude","Amiante contaminée(6,2 m3 - 1 t )","TFA","TFA"
1393,"Déchets sans filière et en attente de filière","Déchets dont le traitement industriel est à l'étude","Boues T600 unite","AUTRES","DSF"
1394,"Déchets sans filière et en attente de filière","Déchets dont le traitement industriel est à l'étude","Déchets mercuriels (liquides)(6 fût)","AUTRES","DSF"
1395,"Déchets sans ou en attente de filière","INBS","Amiante libre - INBS ","TFA","TFA"
1396,"Déchets sans ou en attente de filière","INBS","Cendres issues du brûlage d'huiles et solvants contaminés (STD) - INBS(12,3 m3 - 1 t - 123 fûts)","FA-VL","DIV6"
1397,"Déchets sans ou en attente de filière","INBS","Diuranate d'ammonium - INBS(14 fûts 220l)","TFA","TFA"
1398,"Déchets sans ou en attente de filière","INBS","Effluents (Solutions uranifères, Nitrate d'uranyle, matières recyclables hétérogènes - INBS(71,3 m3 - 1 t - 44 Conteneurs LR35 dont 25 pleins)","TFA","TFA"
1399,"Déchets sans ou en attente de filière","INBS","Huile Fomblin (TE) - INBS(3 m3 - 1 t )","AUTRES","DSF"
1400,"Déchets sans ou en attente de filière","INBS","Huiles (moteurs, équipements procédé, etc.) - INBS(1,7 m3 - 1 t )","FMA-VC","DIV3"
1401,"Déchets sans ou en attente de filière","INBS","INBS Huiles et solvants seuls ou en mélange - Effluents des analyses (UB)(130 m3 - 1 t )","FMA-VC","DIV3"
1402,"Déchets sans ou en attente de filière","INBS  INB155","KDU non conformes - INBS et INB155(330 m3 - 1 t )","FA-VL","F6-1-02"
1403,"Déchets sans ou en attente de filière","INBS (ANC)","DEEE - INBS ANC(2 m3 - 1 t )","TFA","TFA"
1404,"Déchets sans ou en attente de filière","INBS (CEA)","Déchets CEA contenant de l'amiante libre - INBS CEA(29,7 m3 - 1 t )","TFA","TFA"
1405,"Déchets sans ou en attente de filière","INBS (CEA)","DEEE - INBS CEA(4 m3 - 1 t )","TFA","TFA"
1406,"Déchets sans ou en attente de filière","INBS (Sphère)","Effluents de décontamination acides (faiblement enrichis) - INBS SPHERE(2,4 m3 - 1 t )","TFA","TFA"
1407,"Déchets sans ou en attente de filière","INBS (TU2)","Déchets contenant des FCR/CMR (briques réfractaires et capots de fours de défluoration) - INBS TU2 ","TFA","TFA"
1408,"Déchets sans ou en attente de filière","INBS (TU2)","Graisse (de four) - INBS TU2(0,08 m3 - 1 t )","FMA-VC","DIV3"
1409,"Déchets sans ou en attente de filière","INBS (UDG)","Déchets suspectés de contenir de l'Unat et du mercure, ayant pour origine des boues de vidanges d'une rétention à COGEMA/SMT (producteur IPSN) - INBS UDG(1,2 m3 - 1 t )","FMA-VC","DIV3"
1410,"Déchets sans ou en attente de filière","INBS (UDG)","Huiles de vidange des moto-réducteurs + Huiles issues du traitement des matériels gras - INBS UDG(1,9 m3 - 1 t )","FMA-VC","DIV3"
1411,"Déchets sans ou en attente de filière","INBS (UDG)","Sels d'aluminium dans solution acide nitrofluorhydrique INBS UDG(8,51 m3 - 1 t )","FMA-VC","DIV3"
1412,"Déchets technologiques",NA,"Déchets compactables contenant de la monazite (thorium naturel) fût de 120 litres","FMA-VC","F3-01"
1413,"Déchets technologiques",NA,"Déchets incinerables(39 fûts de 120 litres)","FMA-VC","F3-7-01"
1414,"Déchets technologiques",NA,"Déchets métalliques issus de la maintenance(2 fût de 120 litres)","FMA-VC","F3-01"
1415,"Déchets technologiques",NA,"Verres (1 fûts de 120 litres)","FMA-VC","F3-01"
1416,"Décontamination des emballages du parc commun AREVA/CEA","Emballages AREVA/CEA (IL47, IR100, IL29, IR500, IR200, TN106...)","26 fûts de déchets induits (5,2 m3 - 1 t )","TFA","TFA"
1417,"DGA",NA,"7 conteneurs de déchets(7 conteneur)","TFA","TFA"
1418,"Entreposage à la STD (Colis finis)","BESSINES","Compactables (déchets techno) ","TFA","TFA"
1419,"Entreposage à la STD (Colis finis)","CERCA/ROM","Compactables (cotons humides) ","TFA","TFA"
1420,"Entreposage à la STD (Colis finis)","FBFC/ROM","Compactables ","TFA","TFA"
1421,"Entreposage à la STD (Colis finis)","FBFC/ROM","Compactables ","FMA-VC","F3-1-03"
1422,"Entreposage à la STD (Colis finis)","INB 155, TU5 et W","Compactables (balles déchets techno, cotons humides, technologiques compactables) ","TFA","TFA"
1423,"Entreposage à la STD (Colis finis)","INB 155, TU5 et W","Compactables (filtres, balles déchets techno, cotons humides, technologiques compactables) ","FMA-VC","F3-1-03"
1424,"Entreposage à la STD (Colis finis)","INB 155, TU5 et W","Ferrailles (ferrailles, bombes aérosols) ","TFA","TFA"
1425,"Entreposage à la STD (Colis finis)","INB 155, TU5 et W","Ferrailles (ferrailles, bombes aérosols) ","FMA-VC","F3-1-03"
1426,"Entreposage à la STD (Colis finis)","INB 155, TU5 et W","Gravats (boues, gravats, néons, plastiques) ","FMA-VC","F3-1-03"
1427,"Entreposage à la STD (Colis finis)","INB 155, TU5 et W","Gravats (boues, gravats, néons, plastiques) ","TFA","TFA"
1428,"Entreposage à la STD (Colis finis)","INB 168, SET","Compactables (cotons humides, compactables, balles technologiques,,,) ","TFA","TFA"
1429,"Entreposage à la STD (Colis finis)","INB 93, EURODIF PRODUCTION","Compactables (balles déchets techno, compactables) ","TFA","TFA"
1430,"Entreposage à la STD (Colis finis)","INB 93, EURODIF PRODUCTION","Ferrailles (ferrailles bétonnées/sablées) ","TFA","TFA"
1431,"Entreposage à la STD (Colis finis)","INB 93, EURODIF PRODUCTION","Gravats (boues de décantation et plastiques) ","TFA","TFA"
1432,"Entreposage à la STD (Colis finis)","INBS","Compactables (balles déchets techno, cotons humides, technologiques compactables) ","TFA","TFA"
1433,"Entreposage à la STD (Colis finis)","INBS","Compactables (balles déchets techno, cotons humides, technologiques compactables) ","FMA-VC","F3-1-03"
1434,"Entreposage à la STD (Colis finis)","INBS","Ferrailles ","TFA","TFA"
1435,"Entreposage à la STD (Colis finis)","INBS","Gravats (boues, gravats, néons, plastiques) ","TFA","TFA"
1436,"Entreposage à la STD (Colis finis)","INBS","Gravats (boues, gravats, néons, plastiques) ","FMA-VC","F3-1-03"
1437,"Entreposage à la STD (Colis finis)","MALVESI","Compactables (filtres, balles déchets techno) ","FMA-VC","F3-1-03"
1438,"Entreposage à la STD (Colis finis)","MALVESI","Compactables (filtres, balles déchets techno) ","TFA","TFA"
1439,"Entreposage à la STD (Colis finis)","MALVESI","Gravats (Terres et gravats) ","TFA","TFA"
1440,"Entreposage à la STD (Colis finis)","MALVESI","Gravats (Terres et gravats) ","FMA-VC","F3-1-03"
1441,"Entreposage à la STD (Colis finis)","SICN","Compactables (balles déchets techno) ","TFA","TFA"
1442,"Entreposage à la STD (Colis finis)","SICN","Compactables (filtres, balles déchets techno) ","FMA-VC","F3-1-03"
1443,"Entreposage à la STD (Colis finis)","SICN","Ferraille ","TFA","TFA"
1444,"Entreposage à la STD (Colis finis)","SICN","Ferraille ","FMA-VC","F3-1-03"
1445,"Entreposage à l'UB (Déchets non conditionnés)","ICPE, P19","Compactables (cotons humides) ","TFA","TFA"
1446,"Entreposage à l'UB (Déchets non conditionnés)","ICPE, P19","Gravats ","TFA","TFA"
1447,"Entreposage à l'UB (Déchets non conditionnés)","INB 155, TU5 et W","Compactables (filtres, cotons humides, technologiques compactables bois, fûts décanteurs) ","TFA","TFA"
1448,"Entreposage à l'UB (Déchets non conditionnés)","INB 155, TU5 et W","Ferrailles (ferrailles, bombes aérosols) ","TFA","TFA"
1449,"Entreposage à l'UB (Déchets non conditionnés)","INB 155, TU5 et W","Gravats (boues, gravats, néons) ","TFA","TFA"
1450,"Entreposage à l'UB (Déchets non conditionnés)","INB 168, SET","Compactables (cotons humides) ","TFA","TFA"
1451,"Entreposage à l'UB (Déchets non conditionnés)","INB 93, EURODIF PRODUCTION","Compactables (filtres, cotons humides, technologiques compactables) ","TFA","TFA"
1452,"Entreposage à l'UB (Déchets non conditionnés)","INB 93, EURODIF PRODUCTION","Ferrailles (ferrailles) ","TFA","TFA"
1453,"Entreposage à l'UB (Déchets non conditionnés)","INB 93, EURODIF PRODUCTION","Gravats (gravats) ","TFA","TFA"
1454,"Entreposage à l'UB (Déchets non conditionnés)","INBS","Compactables (filtres, cotons humides, technologiques compactables, fûts décanteurs) ","FMA-VC","F3-1-03"
1455,"Entreposage à l'UB (Déchets non conditionnés)","INBS","Ferrailles (ferrailles, grenaille, aluminium) ","TFA","TFA"
1456,"Entreposage à l'UB (Déchets non conditionnés)","INBS","Gravats (gravats, fer/plastiques, verrerie, boues, insolubles, alumines, néons, cendres, pulvérulents, enrobés bitumeux) ","FMA-VC","F3-1-03"
1457,"Entreposage à l'UB (Déchets non conditionnés)","MALVESI","Compactables (filtres, technologiques compactables) ","TFA","TFA"
1458,"Entreposage à l'UB (Déchets non conditionnés)","MALVESI","Ferrailles (bombes aérosols) ","TFA","TFA"
1459,"Entreposage à l'UB (Déchets non conditionnés)","SICN","Ferrailles (bombes aérosols) ","TFA","TFA"
1460,"Installations d'enrichissement de l'uranium",NA,"Déchets bois(48 m3 - 1 t - 48 GRVS de 1 m3)","TFA","TFA"
1461,"Installations d'enrichissement de l'uranium",NA,"Déchets CEA contenant de l'amiante libre(29,7 m3 - 1 t - 135 Fûts de 220 l)","TFA","TFA"
1462,"Installations d'enrichissement de l'uranium",NA,"Déchets CEA contenant de l'amiante lié(27,7 m3 - 1 t - 10 Casiers à parois pleines de 2 m3)","TFA","TFA"
1463,"Installations d'enrichissement de l'uranium",NA,"Déchets CEA suspectés de contenir de l'uranium naturel et du mercure, ayant pour origine des boues de vidange d'une rétention à COGEMA/SMT (producteur IPSN)(1,2 m3 - 1 t - 6 fûts de 200 litres)","AUTRES","DSF"
1464,"Installations d'enrichissement de l'uranium",NA,"Huile contaminée(9,7 m3 - 1 t - 44 Fûts de 220 l)","AUTRES","DSF"
1465,"SITA MARSEILLE",NA,"source et interrupteur(1 fut)","AUTRES","S01"
1466,"Sources radioactives",NA,"Sources radioactives scellées reprises en fin de vie.(8167 sources)","AUTRES","S01"
1469,NA,NA,"SI: solides incinérables (0,7m3)","FMA-VC","F3-7-01"
1470,NA,NA,"SNI: solides non incinérables (0,04m3)","FMA-VC","F3-01"
1471,"Déchets issus de l'INB 63","Amiante","Amiante ","TFA","TFA"
1472,"Déchets issus de l'INB 63","Bois","Bois ","TFA","TFA"
1473,"Déchets issus de l'INB 63","Déchets inertes","Gravats ","TFA","TFA"
1474,"Déchets issus de l'INB 63","Déchets métalliques","Déchets métalliques divers ","TFA","TFA"
1475,"Déchets issus de l'INB 63","Déchets mixtes","Déchets mixtes ","TFA","TFA"
1476,"Déchets issus de l'INB 63","Déchets technologiques compactables","Déchets technologiques compactables ","TFA","TFA"
1477,"Déchets issus de l'INB 63","Filtres","Filtres et pré-filtres ","TFA","TFA"
1478,"Déchets issus de l'INB 63","Huiles","Huiles ","AUTRES","DSF"
1479,"Déchets issus de l'INB 63","Produits boueux","Boues diverses ","AUTRES","DSF"
1480,"Déchets issus de l'INB 63","Résidus d'aspiration","Bidons d'aspiration ","TFA","TFA"
1481,"Déchets issus de l'INB 98","Amiante","Amiante ","TFA","TFA"
1482,"Déchets issus de l'INB 98","Bois","Palettes et caisses ","TFA","TFA"
1483,"Déchets issus de l'INB 98","Déchets inertes","Gravats ","TFA","TFA"
1484,"Déchets issus de l'INB 98","Déchets métalliques","Déchets métalliques divers ","TFA","TFA"
1485,"Déchets issus de l'INB 98","Déchets mixtes","Déchets souillés par du zircalloy ","AUTRES","DSF"
1486,"Déchets issus de l'INB 98","Déchets technologiques compactables","Déchets technologiques compactables ","TFA","TFA"
1487,"Déchets issus de l'INB 98","Effluents du laboratoire","Effluents du laboratoire ","AUTRES","DSF"
1488,"Déchets issus de l'INB 98","Filtres","Filtres et pré-filtres ","AUTRES","DSF"
1489,"Déchets issus de l'INB 98","Huiles","Huiles ","AUTRES","DSF"
1490,"Déchets issus de l'INB 98","Hydroxydes et pulpes secs","Hydroxydes et pulpes secs ","TFA","TFA"
1491,"Déchets issus de l'INB 98","Laine de verre","Laine de verre ","TFA","TFA"
1492,"Déchets issus de l'INB 98","Porogène et lubrifiant","Porogène et lubrifiant ","AUTRES","DSF"
1493,"Déchets issus de l'INB 98","Produits boueux","Boues diverses ","AUTRES","DSF"
1494,"Déchets issus de l'INB 98","Produits boueux","Boues STEL ","TFA","TFA"
1495,"Déchets issus de l'INB 98","Résidus d'aspiration","Résidus d'aspiration ","AUTRES","DSF"
1496,"Déchets issus de l'INB 98","Résidus d'incinération","Refus tamis ","AUTRES","DSF"
1497,"Déchets issus de l'INB 98","Solvants","Solvants ","AUTRES","DSF"
1498,"Déchets",NA,"Fluorines contaminées par de l'uranium enrichi.(5152 fûts de 200 litres)","AUTRES","DSH"
1499,"Déchets Comurhex sans ou en attente de filière",NA,"Amiante (Aire 57)(5,6 m3 - 0,313 t - 3 3 ISO 20 Pieds)","TFA","TFA"
1500,"Déchets Comurhex sans ou en attente de filière",NA,"Boues et insolubles (A61-79)(77 77 fûts de 213L)","FMA-VC","DIV3"
1501,"Déchets Comurhex sans ou en attente de filière",NA,"Charbons actifs contaminés (A33A)(70 Environ 70 fûts)","TFA","TFA"
1502,"Déchets Comurhex sans ou en attente de filière",NA,"DEEE  (A63+A64+A72A)(8 8 fûts)","TFA","TFA"
1503,"Déchets Comurhex sans ou en attente de filière",NA,"Eau glycolée contaminée et fluorée (A72A-A84)(31 m3 - 1 t - 31 31 cubitainers. 2 fûts de 213L. une tourie)","TFA","TFA"
1504,"Déchets Comurhex sans ou en attente de filière",NA,"Eau glycolée contaminée et fluorée (A72A-A84)(5 m3 - 1 t - 5 5 cubitainers)","FMA-VC","DIV3"
1505,"Déchets Comurhex sans ou en attente de filière",NA,"Effluents basiques contaminés : eau ammoniaquée (A70-71)(5 m3 - 1 t - 5 5 cubitainers)","TFA","TFA"
1506,"Déchets Comurhex sans ou en attente de filière",NA,"Effluents basiques contaminés : surnageant des fluorines URT reconditionnées (A70-71-62)(22 m3 - 1 t - 22 22 cubitainers)","FMA-VC","DIV3"
1507,"Déchets Comurhex sans ou en attente de filière",NA,"Fluorines URT (A33B-62-63-64)(225 m3 - 1,9 t - 1022 1022 fûts)","TFA","TFA"
1508,"Déchets Comurhex sans ou en attente de filière",NA,"Huile moteur contaminée Unat ou URT + Graisse (A14-89 et St2000)(1,9 m3 - 1 t )","FMA-VC","DIV3"
1509,"Déchets Comurhex sans ou en attente de filière",NA,"Mercure contaminé + sac de lingette souillée au mercure (A63-64 /St300)(18 18 pots + 1 sac de lingettes souillées dans sacs vinyles àl?intérieur d?un fût 100L placé dans un surfût)","AUTRES","DSF"
1510,"Déchets Comurhex sans ou en attente de filière",NA,"Résines échangeuses dions  (A61-A79)(125 125 fûts)","TFA","TFA"
1511,"Déchets contenant de l'uranium naturel","Colis finis","Compactables (Balle déchets technologiques) ","TFA","TFA"
1512,"Déchets contenant de l'uranium naturel","Colis finis","Ferraille (Métal. ZDN forfait) ","TFA","TFA"
1513,"Déchets contenant de l'uranium naturel","Colis finis","Gravats (terres gravats, néons contaminés, fer et plastiques) ","FMA-VC","F3-1-03"
1514,"Déchets contenant de l'uranium naturel","Stock de déchets non conditionnés","Compactables (Filtres ventil, bois, cotons humides, technologiques compactables...) ","TFA","TFA"
1515,"Déchets contenant de l'uranium naturel","Stock de déchets non conditionnés","Ferrailles (Ferrailles, bombes aérosols, aluminium) ","TFA","TFA"
1516,"Déchets contenant de l'uranium naturel","Stock de déchets non conditionnés","Gravats (Verres, plastiques, gravats) ","TFA","TFA"
1517,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Crayons absorbants (AIC, Pyrex, Inox)(88 étuis)","MA-VL","F2-2-03"
1519,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Doigts de gants RIC(23 étuis)","MA-VL","F2-2-03"
1520,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Grappes (autres que sources)(116 unités)","MA-VL","F2-2-03"
1521,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Grappes bouchons en étuis(36 étuis)","MA-VL","F2-2-03"
1522,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Grappes sources(2 unités)","AUTRES","S01"
1523,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Pièces métalliques diverses(1 unité)","MA-VL","F2-2-03"
1524,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Squelettes d'assemblage combustible(10 unités)","MA-VL","F2-2-03"
1525,"Déchets de Moyenne Activité à Vie Longue entreposés en piscine",NA,"Têtes de grappes (toutes)(59 étuis)","MA-VL","F2-2-03"
1526,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Big-bags de 1 m3(20 BB1)","TFA","TFA"
1527,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Big-bags de 1 m3(32 BB1)","TFA","TFA"
1528,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Big-bags de 1,5 m3(17 BB1.5)","TFA","TFA"
1529,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Big-bags de 1,5 m3(5 BB1.5)","TFA","TFA"
1530,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons lhotelier(8 LHOT)","FMA-VC","F3-7-02"
1531,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 1 m3(1 CM1M3)","FMA-VC","F3-7-02"
1533,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 4 m3(3 CM4M3)","FMA-VC","F3-7-02"
1534,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 5 m3 CM5M3","FMA-VC","F3-2-15"
1535,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 5 m3(1 CM5M3)","FMA-VC","F3-7-02"
1537,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Caissons métalliques de 8 m3(1 CM8M3)","FMA-VC","F3-7-02"
1539,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Casiers de 1,33 m3(2 CA1)","TFA","TFA"
1540,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Casiers de 1,33 m3(7 CA1)","TFA","TFA"
1541,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Casiers de 2,66 m3(12 CA2)","TFA","TFA"
1542,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Casiers de 2,66 m3(2 CA2)","TFA","TFA"
1543,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 1,2 m3(2 C4)","FMA-VC","F3-2-05"
1544,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 2 m3 C1","FMA-VC","F3-2-03"
1545,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 2 m3(12 C1)","FMA-VC","F3-2-02"
1546,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Coques béton de 2 m3(38 C1)","FMA-VC","F3-2-05"
1547,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Fûts métalliques de 200 litres(2 F1)","TFA","TFA"
1548,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Fûts métalliques de 200 litres(381 F1)","FMA-VC","F3-01"
1549,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Fûts plastiques de 120 litres(341 F5)","FMA-VC","F3-7-01"
1550,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Fûts plastiques de 200 litres(409 F6)","FMA-VC","F3-7-01"
1551,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets en attente d'expédition à l'Andra pour stockage ou à CENTRACO pour traitement","Transconteneur 9 D3","FMA-VC","F3-7-02"
1584,"Déchets d'origine URT (uranium de retraitement)","Colis finis","Compactables (Balle déchets technologiques) ","TFA","TFA"
1585,"Déchets d'origine URT (uranium de retraitement)","Colis finis","Ferraille (Aluminium, ferrailles betonnées/sablées) ","FMA-VC","F3-1-03"
1586,"Déchets d'origine URT (uranium de retraitement)","Colis finis","Ferraille (Aluminium, ferrailles betonnées/sablées) ","TFA","TFA"
1587,"Déchets d'origine URT (uranium de retraitement)","Colis finis","Gravats (terres gravats) ","FMA-VC","F3-1-03"
