"id_dim_dechet","GROUPE DE DECHETS","SOUS-GROUPE DE DECHETS","DESCRIPTION PHYSIQUE","CATEGORIE","FAMILLE IN"
3089,"Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte","Déchets non conditionnés","Métaux  ferreux ","FMA-VC","F3-2-05"
3105,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets conditionnés en attente d'expédition","Bigs-bags (1m3) - Déchets inertes(7 BB1)","TFA","TFA"
3106,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets conditionnés en attente d'expédition","Bigs-bags (1m3) - Déchets non métalliques(2 BB1)","TFA","TFA"
3107,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets conditionnés en attente d'expédition","Caissons métalliques (5m3)(8 CM5M3)","FMA-VC","F3-2-15"
3108,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets conditionnés en attente d'expédition","Casiers (1,33m3) - Déchets métalliques(3 CA1)","TFA","TFA"
3109,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets conditionnés en attente d'expédition","Casiers (2,66m3) - Déchets métalliques(1 CA2)","TFA","TFA"
3110,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets conditionnés en attente d'expédition","Coques béton (2m3)(42 C1)","FMA-VC","F3-2-02"
3111,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets conditionnés en attente d'expédition","Fûts métalliques (200l) - Déchets compactables(201 F1)","FMA-VC","F3-01"
3112,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets conditionnés en attente d'expédition","Fûts métalliques (200l) - Déchets non métalliques(9 F1)","TFA","TFA"
3113,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets conditionnés en attente d'expédition","Fûts plastiques (120l) - Déchets incinérables(33 F5)","FMA-VC","F3-7-01"
3114,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets conditionnés en attente d'expédition","Fûts plastiques (200l) - Déchets incinérables(89 F6)","FMA-VC","F3-7-01"
3115,"Déchets de Moyenne, Faible ou Très Faible Activités à Vie Courte (FMA-VC ou TFA)","Déchets conditionnés en attente d'expédition","Monoblocs - Fusion(4 sans réceptacle)","TFA","TFA"
